"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.250916557E-3,-6.827452240E0,5.961802368E0,4.874762878E0,1.029176878E1
1.233091659E-2,-6.857090607E0,6.494544525E0,4.585863647E0,1.049899736E1
2.240991662E-2,-7.524402924E0,6.059100037E0,4.173022156E0,1.052347122E1
3.248891665E-2,-7.204069061E0,4.780608673E0,3.318449249E0,9.260936008E0
4.256791656E-2,-5.909710693E0,3.084485779E0,3.252436523E0,7.417349684E0
5.264691659E-2,-3.860023041E0,3.149600372E0,3.812571716E0,6.273393298E0
6.272591662E-2,-4.772375793E0,4.330644379E0,5.112318878E0,8.225925830E0
7.280591666E-2,-6.061195679E0,4.702321472E0,4.692591705E0,8.992793626E0
8.288491657E-2,-6.973548431E0,5.327720947E0,3.873045959E0,9.592469610E0
9.296391660E-2,-7.491621094E0,6.173312531E0,5.157824249E0,1.099260320E1
1.030429166E-1,-6.502478027E0,6.349346466E0,6.165977783E0,1.098251807E1
1.131219167E-1,-5.362149353E0,5.935906219E0,6.116430817E0,1.006967498E1
1.232019166E-1,-4.520449677E0,5.591322784E0,5.968688049E0,9.344655841E0
1.332809166E-1,-4.161047058E0,5.350323944E0,6.428382111E0,9.341540317E0
1.433599166E-1,-3.816912689E0,4.743785248E0,6.613996124E0,8.989842362E0
1.534389167E-1,-3.531306610E0,3.828289032E0,6.006708984E0,7.950250066E0
1.635179166E-1,-3.776796112E0,3.293002167E0,5.745951233E0,7.623910264E0
1.735979166E-1,-4.565056915E0,3.335663452E0,6.349196777E0,8.501687775E0
1.836769166E-1,-5.630241852E0,4.026776276E0,6.896907806E0,9.771483397E0
1.937559167E-1,-6.509962463E0,4.598587189E0,6.807992706E0,1.048214578E1
2.038349166E-1,-6.397845612E0,4.924309845E0,7.077582092E0,1.073654619E1
2.139139166E-1,-5.272635498E0,5.283862152E0,6.983427887E0,1.022194450E1
2.239929166E-1,-4.670138397E0,5.224435730E0,5.068759460E0,8.648539982E0
2.340729166E-1,-4.174069977E0,4.706961823E0,3.206781464E0,7.061288631E0
2.441519166E-1,-2.722688141E0,3.817361755E0,3.575165405E0,5.896362367E0
2.542309166E-1,-2.168839874E0,2.755320282E0,3.960164795E0,5.289476483E0
2.643099166E-1,-2.133513336E0,1.962419128E0,9.723629608E0,1.014652358E1
2.743889166E-1,-3.083437958E0,1.718875580E0,1.596804428E1,1.635361003E1
2.844689166E-1,-4.225562897E0,2.102378082E0,1.090676926E1,1.188414873E1
2.945479166E-1,-4.128564606E0,2.958896942E0,6.461912384E0,8.219271773E0
3.046269167E-1,-2.871778107E0,3.011287994E0,6.340963898E0,7.584377893E0
3.147059166E-1,-1.852846985E0,2.538870392E0,8.134983215E0,8.721058235E0
3.247849166E-1,-2.299667816E0,2.400857391E0,9.324110413E0,9.899071839E0
3.348649166E-1,-2.595602417E0,2.350561981E0,9.048982544E0,9.702905679E0
3.449439167E-1,-1.515598297E0,2.414329376E0,8.800798645E0,9.250950293E0
3.550229166E-1,-6.653663635E-1,2.393522644E0,8.656798096E0,9.006209875E0
3.651019166E-1,6.704557800E-1,2.548300781E0,9.027127991E0,9.403849615E0
3.751809166E-1,1.394799500E0,3.369193726E0,9.631571045E0,1.029874229E1
3.852599167E-1,4.079017639E-1,3.740122375E0,1.008767258E1,1.076643104E1
3.953393749E-1,-1.117426300E0,2.967578888E0,9.907746735E0,1.040281747E1
4.054183749E-1,-1.806593170E0,2.301164703E0,9.922416229E0,1.034473207E1
4.154973750E-1,-1.147214355E0,2.017504578E0,1.054197784E1,1.079443015E1
4.255763750E-1,-8.092172241E-1,2.419718170E0,1.048569489E1,1.079164796E1
4.356553749E-1,-8.834628296E-1,2.572849731E0,9.700278168E0,1.007449546E1
4.457353749E-1,-1.069076843E0,2.487527161E0,9.432485046E0,9.813383251E0
4.558143750E-1,-9.647438049E-1,2.449057159E0,1.084629501E1,1.116112571E1
4.658933750E-1,-7.798782349E-2,2.235002289E0,1.326152252E1,1.344876563E1
4.759723749E-1,9.151968384E-1,2.040556641E0,1.285002823E1,1.304318528E1
4.860513749E-1,1.088386688E0,2.134561157E0,9.581275635E0,9.876324200E0
4.961313750E-1,2.453398132E-1,2.299368439E0,7.870333557E0,8.203013906E0
5.062103750E-1,-8.969348145E-1,2.615211639E0,8.706045685E0,9.134498095E0
5.162893749E-1,-1.342408447E0,2.784359894E0,9.667496338E0,1.014964068E1
5.263683749E-1,-3.547622681E-1,2.464774475E0,9.037755890E0,9.374540042E0
5.364473750E-1,3.171903992E-1,2.343825989E0,1.000818787E1,1.028386865E1
5.465263750E-1,1.942959595E-1,2.071242828E0,1.069570816E1,1.089614477E1
5.566063749E-1,1.001417542E-1,1.682052155E0,1.005249573E1,1.019274243E1
5.666853749E-1,1.179247742E0,1.213975525E0,9.985435181E0,1.012784664E1
5.767643750E-1,1.531315613E0,8.288264465E-1,1.001417542E1,1.016442768E1
5.868433750E-1,1.151705017E0,5.523513794E-1,9.784852295E0,9.867869625E0
5.969223749E-1,9.789642334E-1,5.399272156E-1,9.589807892E0,9.654755707E0
6.070023749E-1,9.948312378E-1,6.731501770E-1,9.535321198E0,9.610680033E0
6.170813750E-1,8.349636841E-1,8.934919739E-1,9.290430450E0,9.370570432E0
6.271603749E-1,6.313870239E-1,1.103205872E0,9.106163635E0,9.194450985E0
6.372393749E-1,5.736071777E-1,1.063837738E0,9.238039398E0,9.316767028E0
6.473183749E-1,4.613406372E-1,5.611830139E-1,1.029319519E1,1.031879977E1
6.573983750E-1,2.779719543E-1,-8.382568359E-3,1.135074600E1,1.135415226E1
6.674773749E-1,7.509883118E-1,-1.079255676E-1,1.187750061E1,1.190170795E1
6.775563749E-1,1.952539673E0,9.624984741E-2,1.197898956E1,1.213745715E1
6.876353750E-1,3.319796448E0,-6.286926270E-3,1.184007843E1,1.229668838E1
6.977143750E-1,3.509601746E0,-2.570155334E-1,1.141960281E1,1.194950584E1
7.077933749E-1,2.574945374E0,-7.005432129E-2,1.077609100E1,1.107968360E1
7.178733749E-1,1.352138214E0,3.617976379E-1,1.039258850E1,1.048642318E1
7.279523750E-1,-3.032693481E-1,1.161135406E0,1.108385101E1,1.114863045E1
7.380313750E-1,-1.001267853E0,2.060914307E0,1.245739471E1,1.266635655E1
7.481103749E-1,-1.615141296E-1,2.133513336E0,1.374037674E1,1.390596703E1
7.581893749E-1,1.373843079E0,1.317560120E0,1.448537750E1,1.460991344E1
7.682693750E-1,2.714006195E0,5.752537537E-1,1.487726257E1,1.513372684E1
7.783483750E-1,3.214415588E0,5.442681885E-1,1.533620819E1,1.567890229E1
7.884273749E-1,3.385509796E0,1.015637970E0,1.609004059E1,1.647369428E1
7.985063749E-1,3.257825317E0,2.024539948E0,1.771101974E1,1.812160060E1
8.085853750E-1,3.122656403E0,3.004552002E0,2.010963181E1,2.057123251E1
8.186653750E-1,3.478167114E0,3.090922394E0,2.220407639E1,2.268639363E1
8.287443749E-1,4.781806183E0,2.154320068E0,2.287782532E1,2.347129431E1
8.388233749E-1,6.901248779E0,1.594633942E0,2.297647018E1,2.404346635E1
8.489023750E-1,8.595425720E0,2.270179138E0,2.293485672E1,2.459761593E1
8.589813750E-1,8.645721130E0,3.499123535E0,2.271990372E1,2.455985310E1
8.690613749E-1,9.556876373E0,4.139791260E0,1.958602066E1,2.218296560E1
8.791403749E-1,1.045994843E1,5.240751801E0,1.501946686E1,1.903839240E1
8.892193750E-1,4.824916534E0,1.019095779E1,8.454269257E0,1.409290988E1
8.992983749E-1,9.428892517E-1,1.032882111E1,3.148552551E0,1.083914059E1
9.093773749E-1,3.531456299E0,9.239236908E0,1.517559219E1,1.811444950E1
9.194563749E-1,-5.815406799E-1,6.203549652E0,2.630928955E0,6.763431453E0
9.295363750E-1,-3.856131134E0,5.400170288E0,-8.866062927E-1,6.694599105E0
9.396153749E-1,-4.142485657E0,5.420677643E0,2.444416809E-1,6.826689187E0
9.496943749E-1,-4.289030914E0,5.305716705E0,-2.604583740E-2,6.822543098E0
9.597733750E-1,-4.502037964E0,5.273084564E0,1.916015625E-2,6.933551309E0
9.698523750E-1,-4.706812134E0,5.285658417E0,1.347198486E-2,7.077601773E0
9.799323749E-1,-4.900359650E0,5.364843750E0,1.811233521E-2,7.266044399E0
9.900113749E-1,-5.059179382E0,5.488486633E0,3.861968994E-2,7.464601331E0
1.000090375E0,-5.168751526E0,5.643115082E0,3.128494263E-2,7.652562898E0
1.010169375E0,-5.226830750E0,5.817801819E0,4.430786133E-2,7.821031957E0
1.020248375E0,-5.230423279E0,5.990991669E0,5.448669434E-2,7.953130054E0
1.030328375E0,-5.185965729E0,6.161487122E0,5.718109131E-2,8.053659651E0
1.040407375E0,-5.110672302E0,6.297703857E0,7.708969116E-2,8.110856186E0
1.050486375E0,-4.988226929E0,6.400390320E0,9.475296021E-2,8.115194530E0
1.060565375E0,-4.843477936E0,6.450536041E0,1.216969299E-1,8.067434777E0
1.070644375E0,-4.695286102E0,6.462660828E0,1.332229614E-1,7.989333196E0
1.080724375E0,-4.568350067E0,6.431974640E0,1.591191101E-1,7.890845265E0
1.090803375E0,-4.450844421E0,6.362818451E0,1.657054138E-1,7.766783954E0
1.100882375E0,-4.359085236E0,6.264023895E0,1.889071655E-1,7.633826391E0
1.110961375E0,-4.317322083E0,6.150410156E0,1.993853760E-1,7.517085179E0
1.121040375E0,-4.308340759E0,6.033652954E0,1.965412903E-1,7.416562313E0
